algorithm,input,n,time_ms,comparisons,max_depth
MergeSort,random,1000,0.119,10336,7
QuickSort,random,1000,0.197,11992,6
QuickSelect,random,1000,0.246,5583,15
MergeSort,sorted,1000,0.071,3956,7
QuickSort,sorted,1000,0.167,12018,6
QuickSelect,sorted,1000,0.102,2259,15
MergeSort,duplicates,1000,0.092,9766,7
QuickSort,duplicates,1000,0.030,3071,2
QuickSelect,duplicates,1000,0.098,1681,3
MergeSort,random,10000,1.745,127061,11
QuickSort,random,10000,0.965,167536,8
QuickSelect,random,10000,0.438,34381,15
MergeSort,sorted,10000,1.219,59248,11
QuickSort,sorted,10000,0.612,158115,9
QuickSelect,sorted,10000,0.302,31841,17
MergeSort,duplicates,10000,0.570,121687,11
QuickSort,duplicates,10000,0.127,32736,3
QuickSelect,duplicates,10000,0.267,10000,1
MergeSort,random,100000,7.766,1639124,14
QuickSort,random,100000,8.578,2033916,11
QuickSelect,random,100000,1.098,318019,20
MergeSort,sorted,100000,2.120,744016,14
QuickSort,sorted,100000,4.903,2050405,10
QuickSelect,sorted,100000,0.871,348313,23
MergeSort,duplicates,100000,4.272,1562061,14
QuickSort,duplicates,100000,1.298,309947,3
QuickSelect,duplicates,100000,0.946,219883,3
MergeSort,random,1000000,89.950,20219985,17
QuickSort,random,1000000,93.096,24918118,13
QuickSelect,random,1000000,10.049,4488590,19
MergeSort,sorted,1000000,23.656,8952320,17
QuickSort,sorted,1000000,55.056,26465591,12
QuickSelect,sorted,1000000,4.698,3202850,25
MergeSort,duplicates,1000000,42.466,19210933,17
QuickSort,duplicates,1000000,10.543,3298085,2
QuickSelect,duplicates,1000000,8.096,1600058,2
